TIMESTAMP: 14.300000, X: 8.335564, Y: 8.416675, Z: -1.290522, PITCH: 0.174772, YAW: 1.445070
TIMESTAMP: 14.400000, X: 8.309157, Y: 8.333027, Z: -1.128226, PITCH: 0.167052, YAW: 1.440037
TIMESTAMP: 14.500000, X: 8.285166, Y: 8.250974, Z: -0.968620, PITCH: 0.159293, YAW: 1.434981
TIMESTAMP: 14.600000, X: 8.263925, Y: 8.170706, Z: -0.811872, PITCH: 0.151531, YAW: 1.429930
TIMESTAMP: 14.700000, X: 8.245765, Y: 8.092407, Z: -0.658127, PITCH: 0.143787, YAW: 1.424882
TIMESTAMP: 14.800000, X: 8.231014, Y: 8.016258, Z: -0.507516, PITCH: 0.136040, YAW: 1.419822
TIMESTAMP: 14.900000, X: 8.219992, Y: 7.942439, Z: -0.360150, PITCH: 0.128289, YAW: 1.414773
TIMESTAMP: 15.000000, X: 8.213014, Y: 7.871119, Z: -0.216123, PITCH: 0.120548, YAW: 1.409752
TIMESTAMP: 15.100000, X: 8.210382, Y: 7.802467, Z: -0.075512, PITCH: 0.112798, YAW: 1.404699
TIMESTAMP: 15.200000, X: 8.212386, Y: 7.736641, Z: 0.061620, PITCH: 0.105029, YAW: 1.399591
TIMESTAMP: 15.300000, X: 8.219303, Y: 7.673794, Z: 0.195228, PITCH: 0.097283, YAW: 1.394550
TIMESTAMP: 15.400000, X: 8.231393, Y: 7.614068, Z: 0.325279, PITCH: 0.089575, YAW: 1.389612
TIMESTAMP: 15.500000, X: 8.248899, Y: 7.557597, Z: 0.451754, PITCH: 0.081820, YAW: 1.384546
TIMESTAMP: 15.600000, X: 8.272043, Y: 7.504507, Z: 0.574648, PITCH: 0.073993, YAW: 1.379288
TIMESTAMP: 15.700000, X: 8.301025, Y: 7.454911, Z: 0.693968, PITCH: 0.066256, YAW: 1.374270
TIMESTAMP: 15.800000, X: 8.336024, Y: 7.408911, Z: 0.809730, PITCH: 0.058653, YAW: 1.369609
TIMESTAMP: 15.900000, X: 8.377193, Y: 7.366599, Z: 0.921963, PITCH: 0.050881, YAW: 1.364498
TIMESTAMP: 16.000000, X: 8.424661, Y: 7.328053, Z: 1.030704, PITCH: 0.042864, YAW: 1.358739
TIMESTAMP: 16.100000, X: 8.478530, Y: 7.293339, Z: 1.135998, PITCH: 0.035161, YAW: 1.353811
TIMESTAMP: 16.200000, X: 8.538874, Y: 7.262510, Z: 1.237901, PITCH: 0.027866, YAW: 1.349963
TIMESTAMP: 16.300000, X: 8.605740, Y: 7.235608, Z: 1.336473, PITCH: 0.020000, YAW: 1.344604
TIMESTAMP: 16.400000, X: 8.679145, Y: 7.212657, Z: 1.431783, PITCH: 0.011928, YAW: 1.338700
TIMESTAMP: 16.500000, X: 8.759080, Y: 7.193673, Z: 1.523905, PITCH: 0.006232, YAW: 1.339080
TIMESTAMP: 16.600000, X: 8.845505, Y: 7.178653, Z: 1.612919, PITCH: 0.003109, YAW: 1.346260
TIMESTAMP: 16.700000, X: 8.938353, Y: 7.167586, Z: 1.698910, PITCH: -0.000161, YAW: 1.353054
TIMESTAMP: 16.800000, X: 9.037531, Y: 7.160445, Z: 1.781968, PITCH: -0.004611, YAW: 1.356726
TIMESTAMP: 16.900000, X: 9.142916, Y: 7.157190, Z: 1.862188, PITCH: -0.009029, YAW: 1.360482
TIMESTAMP: 17.000000, X: 9.254364, Y: 7.157772, Z: 1.939669, PITCH: -0.012836, YAW: 1.365856
TIMESTAMP: 17.100000, X: 9.371702, Y: 7.162126, Z: 2.014515, PITCH: -0.016654, YAW: 1.371197
TIMESTAMP: 17.200000, X: 9.494738, Y: 7.170180, Z: 2.086833, PITCH: -0.020798, YAW: 1.375680
TIMESTAMP: 17.300000, X: 9.623258, Y: 7.181849, Z: 2.156734, PITCH: -0.024936, YAW: 1.380178
TIMESTAMP: 17.400000, X: 9.757027, Y: 7.197039, Z: 2.224335, PITCH: -0.028900, YAW: 1.385135
TIMESTAMP: 17.500000, X: 9.895794, Y: 7.215647, Z: 2.289755, PITCH: -0.032867, YAW: 1.390083
TIMESTAMP: 17.600000, X: 10.039293, Y: 7.237563, Z: 2.353119, PITCH: -0.036927, YAW: 1.394787
TIMESTAMP: 17.700000, X: 10.187245, Y: 7.262668, Z: 2.414554, PITCH: -0.040987, YAW: 1.399496
TIMESTAMP: 17.800000, X: 10.339357, Y: 7.290836, Z: 2.474193, PITCH: -0.044995, YAW: 1.404334
TIMESTAMP: 17.900000, X: 10.495332, Y: 7.321940, Z: 2.532172, PITCH: -0.049003, YAW: 1.409169
TIMESTAMP: 18.000000, X: 10.654862, Y: 7.355842, Z: 2.588632, PITCH: -0.053040, YAW: 1.413937
TIMESTAMP: 18.100000, X: 10.817638, Y: 7.392406, Z: 2.643718, PITCH: -0.057079, YAW: 1.418708
TIMESTAMP: 18.200000, X: 10.983347, Y: 7.431489, Z: 2.697578, PITCH: -0.061099, YAW: 1.423512
TIMESTAMP: 18.300000, X: 11.151677, Y: 7.472948, Z: 2.750366, PITCH: -0.065114, YAW: 1.428309
TIMESTAMP: 18.400000, X: 11.322320, Y: 7.516639, Z: 2.802238, PITCH: -0.069147, YAW: 1.433097
TIMESTAMP: 18.500000, X: 11.494971, Y: 7.562419, Z: 2.853356, PITCH: -0.073188, YAW: 1.437896
TIMESTAMP: 18.600000, X: 11.669331, Y: 7.610142, Z: 2.903883, PITCH: -0.077208, YAW: 1.442685
TIMESTAMP: 18.700000, X: 11.845113, Y: 7.659667, Z: 2.953986, PITCH: -0.081209, YAW: 1.447453
TIMESTAMP: 18.800000, X: 12.022039, Y: 7.710853, Z: 3.003836, PITCH: -0.085248, YAW: 1.452256
