TIMESTAMP: 20.300000, X: 4.695762, Y: -4.580915, Z: -4.406986, PITCH: 0.556107, YAW: 2.370827
TIMESTAMP: 20.400000, X: 4.571911, Y: -4.723181, Z: -4.432798, PITCH: 0.565388, YAW: 2.344456
TIMESTAMP: 20.500000, X: 4.451630, Y: -4.866542, Z: -4.454933, PITCH: 0.575271, YAW: 2.317604
TIMESTAMP: 20.600000, X: 4.335186, Y: -5.010805, Z: -4.473211, PITCH: 0.578980, YAW: 2.295699
TIMESTAMP: 20.700000, X: 4.222830, Y: -5.155750, Z: -4.487464, PITCH: 0.573139, YAW: 2.281443
TIMESTAMP: 20.800000, X: 4.114794, Y: -5.301132, Z: -4.497538, PITCH: 0.562297, YAW: 2.271192
TIMESTAMP: 20.900000, X: 4.011293, Y: -5.446683, Z: -4.503289, PITCH: 0.552751, YAW: 2.259903
TIMESTAMP: 21.000000, X: 3.912521, Y: -5.592111, Z: -4.504592, PITCH: 0.545328, YAW: 2.246913
TIMESTAMP: 21.100000, X: 3.818654, Y: -5.737103, Z: -4.501330, PITCH: 0.537438, YAW: 2.234296
TIMESTAMP: 21.200000, X: 3.729847, Y: -5.881331, Z: -4.493405, PITCH: 0.528475, YAW: 2.222541
TIMESTAMP: 21.300000, X: 3.646238, Y: -6.024446, Z: -4.480731, PITCH: 0.519735, YAW: 2.210609
TIMESTAMP: 21.400000, X: 3.567942, Y: -6.166090, Z: -4.463237, PITCH: 0.511563, YAW: 2.198216
TIMESTAMP: 21.500000, X: 3.495057, Y: -6.305888, Z: -4.440865, PITCH: 0.503276, YAW: 2.185912
TIMESTAMP: 21.600000, X: 3.427662, Y: -6.443459, Z: -4.413575, PITCH: 0.494683, YAW: 2.173866
TIMESTAMP: 21.700000, X: 3.365814, Y: -6.578416, Z: -4.381337, PITCH: 0.486151, YAW: 2.161778
TIMESTAMP: 21.800000, X: 3.309557, Y: -6.710365, Z: -4.344139, PITCH: 0.477786, YAW: 2.149530
TIMESTAMP: 21.900000, X: 3.258913, Y: -6.838913, Z: -4.301981, PITCH: 0.469390, YAW: 2.137293
TIMESTAMP: 22.000000, X: 3.213888, Y: -6.963668, Z: -4.254877, PITCH: 0.460898, YAW: 2.125185
TIMESTAMP: 22.100000, X: 3.174473, Y: -7.084240, Z: -4.202855, PITCH: 0.452419, YAW: 2.113092
TIMESTAMP: 22.200000, X: 3.140644, Y: -7.200248, Z: -4.145956, PITCH: 0.444004, YAW: 2.100849
TIMESTAMP: 22.300000, X: 3.112360, Y: -7.311321, Z: -4.084235, PITCH: 0.435590, YAW: 2.088558
TIMESTAMP: 22.400000, X: 3.089568, Y: -7.417096, Z: -4.017756, PITCH: 0.427115, YAW: 2.076499
